Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
org.slf4j:slf4j-api:jar:2.0.11,ClassOrInterfaceType,org.slf4j.Logger,Logger,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-samples\spring-cloud-aws-secrets-manager-sample\src\main\java\io\awspring\cloud\samples\secretsmanager\App.java,37
org.slf4j:slf4j-api:jar:2.0.11,MethodCallExpr,org.slf4j.Logger,info,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-samples\spring-cloud-aws-secrets-manager-sample\src\main\java\io\awspring\cloud\samples\secretsmanager\App.java,46
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-samples\spring-cloud-aws-secrets-manager-sample\src\main\java\io\awspring\cloud\samples\secretsmanager\App.java,44
org.springframework.boot:spring-boot:jar:3.5.0,ClassOrInterfaceType,org.springframework.boot.ApplicationRunner,ApplicationRunner,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-samples\spring-cloud-aws-secrets-manager-sample\src\main\java\io\awspring\cloud\samples\secretsmanager\App.java,44
org.springframework.boot:spring-boot:jar:3.5.0,MethodCallExpr,org.springframework.boot.SpringApplication,run,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-samples\spring-cloud-aws-secrets-manager-sample\src\main\java\io\awspring\cloud\samples\secretsmanager\App.java,40
org.slf4j:slf4j-api:jar:2.0.11,MethodCallExpr,org.slf4j.LoggerFactory,getLogger,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-samples\spring-cloud-aws-secrets-manager-sample\src\main\java\io\awspring\cloud\samples\secretsmanager\App.java,37
CLIENT:client-code:N/A:N/A,NameExpr,io.awspring.cloud.samples.secretsmanager.App,LOGGER,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-samples\spring-cloud-aws-secrets-manager-sample\src\main\java\io\awspring\cloud\samples\secretsmanager\App.java,46
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,io.awspring.cloud.samples.secretsmanager.App,App,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-samples\spring-cloud-aws-secrets-manager-sample\src\main\java\io\awspring\cloud\samples\secretsmanager\App.java,40
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,io.awspring.cloud.samples.secretsmanager.App,App,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-samples\spring-cloud-aws-secrets-manager-sample\src\main\java\io\awspring\cloud\samples\secretsmanager\App.java,37
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-samples\spring-cloud-aws-secrets-manager-sample\src\main\java\io\awspring\cloud\samples\secretsmanager\App.java,39
