Library_Name,Old_Version,New_Version,Class_Name,Member_Name,Change_Type,Description,Binary_Compatible,Source_Compatible,Is_Transitive,Depth,Direct_Parent_Dependency,Direct_Dependency_Old_Version,Direct_Dependency_New_Version,Release_Type,Usage_Location,Usage_Line,Usage_Context,Usage_Type
redis.clients:jedis,4.2.0,4.4.8,redis.clients.jedis.JedisPooled,redis.clients.jedis.JedisPooled,CLASS_CHANGE,METHOD_REMOVED_IN_SUPERCLASS; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,false,false,false,1,redis.clients:jedis,,,MINOR,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-storage\pixels-storage-redis\src\main\java\io\pixelsdb\pixels\storage\redis\PhysicalRedisReader.java,103,redis.clients.jedis.JedisPooled,FieldAccessExpr
redis.clients:jedis,4.2.0,4.4.8,redis.clients.jedis.JedisPooled,redis.clients.jedis.JedisPooled,CLASS_CHANGE,METHOD_REMOVED_IN_SUPERCLASS; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,false,false,false,1,redis.clients:jedis,,,MINOR,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-storage\pixels-storage-redis\src\main\java\io\pixelsdb\pixels\storage\redis\Redis.java,295,redis.clients.jedis.JedisPooled,FieldAccessExpr
redis.clients:jedis,4.2.0,4.4.8,redis.clients.jedis.JedisPooled,redis.clients.jedis.JedisPooled,CLASS_CHANGE,METHOD_REMOVED_IN_SUPERCLASS; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,false,false,false,1,redis.clients:jedis,,,MINOR,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-storage\pixels-storage-redis\src\main\java\io\pixelsdb\pixels\storage\redis\Redis.java,305,redis.clients.jedis.JedisPooled,FieldAccessExpr
redis.clients:jedis,4.2.0,4.4.8,redis.clients.jedis.JedisPooled,redis.clients.jedis.JedisPooled,CLASS_CHANGE,METHOD_REMOVED_IN_SUPERCLASS; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,false,false,false,1,redis.clients:jedis,,,MINOR,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-storage\pixels-storage-redis\src\main\java\io\pixelsdb\pixels\storage\redis\Redis.java,123,redis.clients.jedis.JedisPooled,ClassOrInterfaceType
redis.clients:jedis,4.2.0,4.4.8,redis.clients.jedis.JedisPooled,redis.clients.jedis.JedisPooled,CLASS_CHANGE,METHOD_REMOVED_IN_SUPERCLASS; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,false,false,false,1,redis.clients:jedis,,,MINOR,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-storage\pixels-storage-redis\src\main\java\io\pixelsdb\pixels\storage\redis\Redis.java,123,redis.clients.jedis.JedisPooled,FieldAccessExpr
redis.clients:jedis,4.2.0,4.4.8,redis.clients.jedis.JedisPooled,redis.clients.jedis.JedisPooled,CLASS_CHANGE,METHOD_REMOVED_IN_SUPERCLASS; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,false,false,false,1,redis.clients:jedis,,,MINOR,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-storage\pixels-storage-redis\src\main\java\io\pixelsdb\pixels\storage\redis\Redis.java,258,redis.clients.jedis.JedisPooled,FieldAccessExpr
redis.clients:jedis,4.2.0,4.4.8,redis.clients.jedis.JedisPooled,redis.clients.jedis.JedisPooled,CLASS_CHANGE,METHOD_REMOVED_IN_SUPERCLASS; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,false,false,false,1,redis.clients:jedis,,,MINOR,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-storage\pixels-storage-redis\src\main\java\io\pixelsdb\pixels\storage\redis\Redis.java,307,redis.clients.jedis.JedisPooled,FieldAccessExpr
redis.clients:jedis,4.2.0,4.4.8,redis.clients.jedis.JedisPooled,redis.clients.jedis.JedisPooled,CLASS_CHANGE,METHOD_REMOVED_IN_SUPERCLASS; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,false,false,false,1,redis.clients:jedis,,,MINOR,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-storage\pixels-storage-redis\src\main\java\io\pixelsdb\pixels\storage\redis\Redis.java,279,redis.clients.jedis.JedisPooled,FieldAccessExpr
redis.clients:jedis,4.2.0,4.4.8,redis.clients.jedis.JedisPooled,redis.clients.jedis.JedisPooled,CLASS_CHANGE,METHOD_REMOVED_IN_SUPERCLASS; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,false,false,false,1,redis.clients:jedis,,,MINOR,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-storage\pixels-storage-redis\src\main\java\io\pixelsdb\pixels\storage\redis\PhysicalRedisWriter.java,64,redis.clients.jedis.JedisPooled,FieldAccessExpr
redis.clients:jedis,4.2.0,4.4.8,redis.clients.jedis.JedisPooled,redis.clients.jedis.JedisPooled,CLASS_CHANGE,METHOD_REMOVED_IN_SUPERCLASS; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,false,false,false,1,redis.clients:jedis,,,MINOR,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-storage\pixels-storage-redis\src\main\java\io\pixelsdb\pixels\storage\redis\Redis.java,266,redis.clients.jedis.JedisPooled,FieldAccessExpr
redis.clients:jedis,4.2.0,4.4.8,redis.clients.jedis.JedisPooled,redis.clients.jedis.JedisPooled,CLASS_CHANGE,METHOD_REMOVED_IN_SUPERCLASS; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,false,false,false,1,redis.clients:jedis,,,MINOR,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-storage\pixels-storage-redis\src\main\java\io\pixelsdb\pixels\storage\redis\Redis.java,330,redis.clients.jedis.JedisPooled,ClassOrInterfaceType
redis.clients:jedis,4.2.0,4.4.8,redis.clients.jedis.JedisPooled,redis.clients.jedis.JedisPooled,CLASS_CHANGE,METHOD_REMOVED_IN_SUPERCLASS; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,false,false,false,1,redis.clients:jedis,,,MINOR,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-storage\pixels-storage-redis\src\main\java\io\pixelsdb\pixels\storage\redis\Redis.java,315,redis.clients.jedis.JedisPooled,FieldAccessExpr
redis.clients:jedis,4.2.0,4.4.8,redis.clients.jedis.JedisPooled,redis.clients.jedis.JedisPooled,CLASS_CHANGE,METHOD_REMOVED_IN_SUPERCLASS; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,false,false,false,1,redis.clients:jedis,,,MINOR,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-storage\pixels-storage-redis\src\main\java\io\pixelsdb\pixels\storage\redis\Redis.java,332,redis.clients.jedis.JedisPooled,FieldAccessExpr
redis.clients:jedis,4.2.0,4.4.8,redis.clients.jedis.JedisPooled,redis.clients.jedis.JedisPooled,CLASS_CHANGE,METHOD_REMOVED_IN_SUPERCLASS; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,false,false,false,1,redis.clients:jedis,,,MINOR,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-storage\pixels-storage-redis\src\main\java\io\pixelsdb\pixels\storage\redis\io\RedisOutputStream.java,138,redis.clients.jedis.JedisPooled,FieldAccessExpr
redis.clients:jedis,4.2.0,4.4.8,redis.clients.jedis.JedisPooled,redis.clients.jedis.JedisPooled,CLASS_CHANGE,METHOD_REMOVED_IN_SUPERCLASS; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,false,false,false,1,redis.clients:jedis,,,MINOR,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-storage\pixels-storage-redis\src\main\java\io\pixelsdb\pixels\storage\redis\Redis.java,119,redis.clients.jedis.JedisPooled,FieldAccessExpr
redis.clients:jedis,4.2.0,4.4.8,redis.clients.jedis.JedisPooled,redis.clients.jedis.JedisPooled,CLASS_CHANGE,METHOD_REMOVED_IN_SUPERCLASS; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,false,false,false,1,redis.clients:jedis,,,MINOR,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-storage\pixels-storage-redis\src\main\java\io\pixelsdb\pixels\storage\redis\Redis.java,297,redis.clients.jedis.JedisPooled,FieldAccessExpr
redis.clients:jedis,4.2.0,4.4.8,redis.clients.jedis.JedisPooled,redis.clients.jedis.JedisPooled,CLASS_CHANGE,METHOD_REMOVED_IN_SUPERCLASS; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,false,false,false,1,redis.clients:jedis,,,MINOR,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-storage\pixels-storage-redis\src\main\java\io\pixelsdb\pixels\storage\redis\io\RedisOutputStream.java,65,redis.clients.jedis.JedisPooled,ClassOrInterfaceType
redis.clients:jedis,4.2.0,4.4.8,redis.clients.jedis.JedisPooled,redis.clients.jedis.JedisPooled,CLASS_CHANGE,METHOD_REMOVED_IN_SUPERCLASS; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,false,false,false,1,redis.clients:jedis,,,MINOR,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-storage\pixels-storage-redis\src\main\java\io\pixelsdb\pixels\storage\redis\PhysicalRedisReader.java,68,redis.clients.jedis.JedisPooled,FieldAccessExpr
redis.clients:jedis,4.2.0,4.4.8,redis.clients.jedis.JedisPooled,redis.clients.jedis.JedisPooled,CLASS_CHANGE,METHOD_REMOVED_IN_SUPERCLASS; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,false,false,false,1,redis.clients:jedis,,,MINOR,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-storage\pixels-storage-redis\src\main\java\io\pixelsdb\pixels\storage\redis\PhysicalRedisReader.java,44,redis.clients.jedis.JedisPooled,ClassOrInterfaceType
redis.clients:jedis,4.2.0,4.4.8,redis.clients.jedis.JedisPooled,redis.clients.jedis.JedisPooled,CLASS_CHANGE,METHOD_REMOVED_IN_SUPERCLASS; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,false,false,false,1,redis.clients:jedis,,,MINOR,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-storage\pixels-storage-redis\src\main\java\io\pixelsdb\pixels\storage\redis\Redis.java,276,redis.clients.jedis.JedisPooled,FieldAccessExpr
redis.clients:jedis,4.2.0,4.4.8,redis.clients.jedis.JedisPooled,redis.clients.jedis.JedisPooled,CLASS_CHANGE,METHOD_REMOVED_IN_SUPERCLASS; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,false,false,false,1,redis.clients:jedis,,,MINOR,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-storage\pixels-storage-redis\src\main\java\io\pixelsdb\pixels\storage\redis\io\RedisOutputStream.java,60,redis.clients.jedis.JedisPooled,ClassOrInterfaceType
redis.clients:jedis,4.2.0,4.4.8,redis.clients.jedis.JedisPooled,redis.clients.jedis.JedisPooled,CLASS_CHANGE,METHOD_REMOVED_IN_SUPERCLASS; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,false,false,false,1,redis.clients:jedis,,,MINOR,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-storage\pixels-storage-redis\src\main\java\io\pixelsdb\pixels\storage\redis\Redis.java,203,redis.clients.jedis.JedisPooled,FieldAccessExpr
redis.clients:jedis,4.2.0,4.4.8,redis.clients.jedis.JedisPooled,redis.clients.jedis.JedisPooled,CLASS_CHANGE,METHOD_REMOVED_IN_SUPERCLASS; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,false,false,false,1,redis.clients:jedis,,,MINOR,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-storage\pixels-storage-redis\src\main\java\io\pixelsdb\pixels\storage\redis\Redis.java,246,redis.clients.jedis.JedisPooled,FieldAccessExpr
