project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
fcrepo__fcrepo,fcrepo-http-commons,jakarta.activation:jakarta.activation-api,2.1.0,2.1.3,2,3,runtime,test,omitted_conflict
fcrepo__fcrepo,fcrepo-jms,commons-cli:commons-cli,1.9.0,1.5.0,3,3,compile,compile,version_managed
fcrepo__fcrepo,fcrepo-jms,commons-io:commons-io,2.19.0,2.14.0,3,3,compile,compile,version_managed
fcrepo__fcrepo,fcrepo-jms,software.amazon.awssdk:s3,2.25.29,2.26.21,3,3,test,test,version_managed
fcrepo__fcrepo,fcrepo-jms,software.amazon.awssdk:s3-transfer-manager,2.25.29,2.26.21,3,3,test,test,version_managed
fcrepo__fcrepo,fcrepo-jms,jakarta.annotation:jakarta.annotation-api,3.0.0,2.1.1,4,4,compile,compile,version_managed
fcrepo__fcrepo,fcrepo-jms,org.glassfish.hk2:hk2-locator,3.1.1,3.0.6,4,4,compile,compile,version_managed
fcrepo__fcrepo,fcrepo-jms,org.glassfish.hk2:spring-bridge,3.1.1,3.0.6,4,4,compile,compile,version_managed
fcrepo__fcrepo,fcrepo-jms,net.bytebuddy:byte-buddy,1.17.5,1.15.11,3,3,test,test,version_managed
fcrepo__fcrepo,fcrepo-jms,net.bytebuddy:byte-buddy-agent,1.17.5,1.15.11,3,3,test,test,version_managed
fcrepo__fcrepo,fcrepo-jms,org.hamcrest:hamcrest,3.0,2.1,2,2,test,test,version_managed
fcrepo__fcrepo,fcrepo-jms,com.github.jsonld-java:jsonld-java,0.13.6,0.13.4,2,2,test,test,version_managed
fcrepo__fcrepo,fcrepo-jms,org.slf4j:jcl-over-slf4j,2.0.17,1.7.36,2,2,runtime,runtime,version_managed
fcrepo__fcrepo,fcrepo-jms,org.apache.commons:commons-lang3,3.17.0,3.13.0,2,2,compile,compile,version_managed
fcrepo__fcrepo,fcrepo-kernel-api,commons-cli:commons-cli,1.9.0,1.5.0,2,2,compile,compile,version_managed
fcrepo__fcrepo,fcrepo-kernel-api,commons-io:commons-io,2.19.0,2.14.0,3,3,compile,compile,version_managed
fcrepo__fcrepo,fcrepo-kernel-api,com.github.ben-manes.caffeine:caffeine,3.2.0,3.1.8,3,3,compile,compile,version_managed
fcrepo__fcrepo,fcrepo-kernel-api,com.github.jsonld-java:jsonld-java,0.13.6,0.13.4,2,2,compile,compile,version_managed
fcrepo__fcrepo,fcrepo-kernel-api,org.slf4j:jcl-over-slf4j,2.0.17,1.7.36,2,2,runtime,runtime,version_managed
fcrepo__fcrepo,fcrepo-kernel-api,com.fasterxml.jackson.core:jackson-core,2.19.0,2.15.3,2,2,compile,compile,version_managed
fcrepo__fcrepo,fcrepo-kernel-api,com.fasterxml.jackson.core:jackson-databind,2.19.0,2.15.3,2,2,compile,compile,version_managed
fcrepo__fcrepo,fcrepo-kernel-api,org.apache.commons:commons-lang3,3.17.0,3.13.0,2,2,compile,compile,version_managed
fcrepo__fcrepo,fcrepo-kernel-api,jakarta.servlet:jakarta.servlet-api,6.1.0,6.0.0,3,3,provided,provided,version_managed
fcrepo__fcrepo,fcrepo-kernel-api,jakarta.annotation:jakarta.annotation-api,3.0.0,2.1.1,3,3,provided,provided,version_managed
fcrepo__fcrepo,fcrepo-kernel-api,net.bytebuddy:byte-buddy,1.17.5,1.15.11,3,3,test,test,version_managed
fcrepo__fcrepo,fcrepo-kernel-api,net.bytebuddy:byte-buddy-agent,1.17.5,1.15.11,3,3,test,test,version_managed
fcrepo__fcrepo,fcrepo-kernel-api,org.hamcrest:hamcrest,3.0,2.1,2,2,test,test,version_managed
fcrepo__fcrepo,fcrepo-kernel-impl,com.google.guava:guava,32.0.0-jre,33.4.8-jre,2,2,compile,compile,version_managed
fcrepo__fcrepo,fcrepo-kernel-impl,com.github.jsonld-java:jsonld-java,0.13.6,0.13.4,3,3,compile,compile,version_managed
