project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
juejin-wuyang__memberclub,downstream.examples,org.springframework.security:spring-security-crypto,5.7.10,5.6.9,4,4,compile,compile,version_managed
juejin-wuyang__memberclub,downstream.examples,org.apache.httpcomponents:httpclient,4.5.14,4.5.3,3,3,compile,compile,version_managed
juejin-wuyang__memberclub,downstream.examples,com.fasterxml.jackson.core:jackson-annotations,2.13.5,2.10.5,3,3,compile,compile,version_managed
juejin-wuyang__memberclub,downstream.examples,com.fasterxml.jackson.core:jackson-core,2.13.5,2.10.5,3,3,compile,compile,version_managed
juejin-wuyang__memberclub,downstream.examples,com.fasterxml.jackson.core:jackson-databind,2.13.5,2.10.5.1,3,3,compile,compile,version_managed
juejin-wuyang__memberclub,downstream.examples,com.netflix.servo:servo-core,0.12.21,0.5.3,3,4,compile,runtime,omitted_conflict
juejin-wuyang__memberclub,downstream.examples,joda-time:joda-time,2.10.10,2.3,5,5,runtime,runtime,version_managed
juejin-wuyang__memberclub,downstream.examples,com.google.code.gson:gson,2.9.1,2.1,5,5,runtime,runtime,version_managed
juejin-wuyang__memberclub,downstream.examples,com.google.guava:guava,20.0,19.0,4,4,compile,compile,version_managed
juejin-wuyang__memberclub,downstream.examples,commons-codec:commons-codec,1.15,1.11,4,4,compile,compile,version_managed
juejin-wuyang__memberclub,downstream.examples,org.springframework.boot:spring-boot-starter-cache,2.7.14,2.6.14,3,3,compile,compile,version_managed
juejin-wuyang__memberclub,downstream.examples,io.projectreactor:reactor-core,3.4.31,3.4.25,4,4,compile,compile,version_managed
juejin-wuyang__memberclub,downstream.examples,io.projectreactor.addons:reactor-extra,3.4.10,3.4.9,4,4,compile,compile,version_managed
juejin-wuyang__memberclub,eureka.server,org.glassfish.jaxb:jaxb-runtime,2.3.8,2.3.7,2,2,compile,compile,version_managed
juejin-wuyang__memberclub,eureka.server,org.springframework.security:spring-security-crypto,5.7.10,5.6.9,4,4,compile,compile,version_managed
juejin-wuyang__memberclub,eureka.server,org.springframework.boot:spring-boot-starter-web,2.7.14,2.6.14,3,3,compile,compile,version_managed
juejin-wuyang__memberclub,eureka.server,org.springframework.boot:spring-boot-starter-actuator,2.7.14,2.6.14,3,3,compile,compile,version_managed
juejin-wuyang__memberclub,eureka.server,org.springframework.boot:spring-boot-starter-freemarker,2.7.14,2.6.14,3,3,compile,compile,version_managed
juejin-wuyang__memberclub,eureka.server,com.fasterxml.jackson.dataformat:jackson-dataformat-xml,2.13.5,2.13.4,3,3,compile,compile,version_managed
juejin-wuyang__memberclub,eureka.server,com.sun.jersey:jersey-client,1.19.4,1.19.1,3,4,compile,compile,omitted_conflict
juejin-wuyang__memberclub,eureka.server,org.apache.httpcomponents:httpclient,4.5.14,4.5.3,4,4,compile,compile,version_managed
juejin-wuyang__memberclub,eureka.server,com.fasterxml.jackson.core:jackson-annotations,2.13.5,2.10.5,4,4,compile,compile,version_managed
juejin-wuyang__memberclub,eureka.server,com.fasterxml.jackson.core:jackson-core,2.13.5,2.10.5,4,4,compile,compile,version_managed
juejin-wuyang__memberclub,eureka.server,com.fasterxml.jackson.core:jackson-databind,2.13.5,2.10.5.1,4,4,compile,compile,version_managed
juejin-wuyang__memberclub,eureka.server,org.slf4j:slf4j-api,1.7.32,1.6.4,5,5,compile,compile,version_managed
juejin-wuyang__memberclub,eureka.server,com.netflix.servo:servo-core,0.12.21,0.5.3,4,5,compile,runtime,omitted_conflict
juejin-wuyang__memberclub,eureka.server,joda-time:joda-time,2.10.10,2.3,6,6,runtime,runtime,version_managed
juejin-wuyang__memberclub,eureka.server,com.google.code.gson:gson,2.9.1,2.1,6,6,runtime,runtime,version_managed
juejin-wuyang__memberclub,eureka.server,com.google.guava:guava,20.0,19.0,5,5,compile,compile,version_managed
juejin-wuyang__memberclub,eureka.server,com.sun.jersey:jersey-client,1.19.4,1.19.1,3,4,compile,compile,omitted_conflict
juejin-wuyang__memberclub,eureka.server,commons-codec:commons-codec,1.15,1.11,5,5,compile,compile,version_managed
juejin-wuyang__memberclub,eureka.server,javax.servlet:javax.servlet-api,4.0.1,3.0.1,4,4,provided,provided,version_managed
juejin-wuyang__memberclub,eureka.server,org.slf4j:slf4j-jdk14,1.7.36,1.7.2,5,5,provided,provided,version_managed
juejin-wuyang__memberclub,eureka.server,javax.enterprise:cdi-api,1.0-SP4,1.0-SP3,5,6,provided,provided,omitted_conflict
juejin-wuyang__memberclub,eureka.server,org.slf4j:slf4j-ext,1.7.36,1.7.2,6,6,provided,provided,version_managed
juejin-wuyang__memberclub,eureka.server,javax.enterprise:cdi-api,1.0-SP4,1.0-SP3,5,6,provided,provided,omitted_conflict
